location,size,total_sqft,bath,price,bhk,price_per_sqft
West Marredpally,2 BHK,1132.5,2.0,48.13,2,4249.889624724062
Kukatpally,2 BHK,1210.0,2.0,45.98,2,3800.0
Kondapur,3 BHK,1075.0,2.0,45.0,3,4186.046511627907
Malkajgiri,3 BHK,1702.0,3.0,130.0,3,7638.07285546416
Somajiguda,2 BHK,1630.0,2.0,200.0,2,12269.938650306749
Miyapur,2 BHK,1141.0,2.0,38.55,2,3378.6152497808935
Alwal,4 Bedroom,4046.0,4.0,445.0,4,10998.517053880376
Alwal,3 BHK,35000.0,3.0,130.0,3,371.42857142857144
Hitech City,3 BHK,1875.0,3.0,165.0,3,8800.0
Madhapur,3 Bedroom,1200.0,3.0,140.0,3,11666.666666666666
Sri Nagar Colony,2 BHK,1140.0,2.0,56.0,2,4912.2807017543855
Hitech City,3 BHK,1683.0,3.0,109.0,3,6476.5300059417705
Quthbullapur,4 BHK,2118.0,4.0,111.0,4,5240.793201133144
Kukatpally,3 BHK,2300.0,3.0,120.0,3,5217.391304347826
Kukatpally,2 BHK,1240.0,2.0,60.0,2,4838.709677419355
Kondapur,3 BHK,1750.0,3.0,120.0,3,6857.142857142857
Alwal,2 BHK,985.0,2.0,40.39,2,4100.507614213198
Kondapur,3 Bedroom,1500.0,2.0,87.0,3,5800.0
Alwal,2 BHK,950.0,2.0,44.0,2,4631.578947368421
Alwal,2 BHK,1090.0,2.0,28.34,2,2600.0
Kondapur,2 BHK,810.0,2.0,24.5,2,3024.6913580246915
Kondapur,2 BHK,1045.0,2.0,45.0,2,4306.2200956937795
Kondapur,2 BHK,1337.0,2.0,82.0,2,6133.1338818249815
Hafeezpet,3 BHK,1580.0,3.0,160.0,3,10126.582278481013
Kukatpally,3 BHK,1500.0,2.0,54.0,3,3600.0
Kukatpally,3 BHK,1640.0,4.0,91.0,3,5548.780487804878
Gajularamaram,3 BHK,1570.0,3.0,62.0,3,3949.044585987261
Kondapur,3 BHK,1470.0,2.0,82.0,3,5578.231292517007
Sainikpuri,2 BHK,1050.0,2.0,71.0,2,6761.9047619047615
Puppalaguda,3 BHK,1855.0,3.0,225.0,3,12129.380053908355
Puppalaguda,3 BHK,1460.0,2.0,90.0,3,6164.3835616438355
Nizampet,2 BHK,1094.0,2.0,42.0,2,3839.1224862888484
Serilingampally,2 BHK,1153.0,2.0,57.0,2,4943.625325238509
Serilingampally,3 BHK,1325.0,3.0,57.0,3,4301.88679245283
Gachibowli,3 BHK,1590.0,2.0,125.0,3,7861.635220125786
Kondapur,2 BHK,1202.0,2.0,48.0,2,3993.3444259567386
Kukatpally,2 BHK,1200.0,2.0,62.5,2,5208.333333333333
Kondapur,3 BHK,1688.0,3.0,118.0,3,6990.521327014218
Manikonda,2 BHK,1020.0,2.0,52.0,2,5098.0392156862745
West Marredpally,2 BHK,1185.0,2.0,47.0,2,3966.2447257383965
Manikonda,2 BHK,1235.0,2.0,52.04,2,4213.765182186235
Banjara Hills,4 BHK,3205.0,5.0,500.0,4,15600.624024960998
Banjara Hills,3 BHK,1415.0,2.0,66.0,3,4664.310954063604
Banjara Hills,3 BHK,2330.0,3.0,162.0,3,6952.789699570815
Banjara Hills,2 BHK,805.0,2.0,35.0,2,4347.826086956522
Qutub Shahi Tombs,2 BHK,1155.0,2.0,59.95,2,5190.476190476191
Sainikpuri,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
Malkajgiri,2 BHK,1468.0,2.0,140.0,2,9536.784741144415
East Marredpally,4 Bedroom,4300.0,5.0,550.0,4,12790.697674418605
Kukatpally,3 BHK,2280.0,4.0,126.0,3,5526.315789473684
Nizampet,2 BHK,1341.0,2.0,97.0,2,7233.407904548844
Nagole,4 BHK,2225.0,4.0,98.88,4,4444.044943820225
Nacharam,2 BHK,1185.0,2.0,43.51,2,3671.7299578059074
Nacharam,3 BHK,1750.0,3.0,85.0,3,4857.142857142857
Kapra,2 BHK,1152.0,2.0,53.5,2,4644.097222222223
Mallapur,2 BHK,1300.0,2.0,36.0,2,2769.230769230769
Nizampet,2 BHK,1101.0,2.0,45.0,2,4087.193460490463
Mallapur,1 BHK,667.0,1.0,36.85,1,5524.737631184408
West Marredpally,2 BHK,1070.0,2.0,55.0,2,5140.186915887851
Nacharam,3 BHK,1875.0,2.0,110.0,3,5866.666666666667
Toli Chowki,2 BHK,735.0,2.0,57.99,2,7889.7959183673465
Habsiguda,2 BHK,1215.0,2.0,67.0,2,5514.40329218107
KTR Colony,2 BHK,820.0,2.0,30.0,2,3658.5365853658536
Mallapur,2 BHK,1177.5,2.0,59.935,2,5090.0212314225055
Nizampet,3 BHK,1779.0,3.0,89.61,3,5037.099494097808
Nizampet,2 BHK,1105.0,2.0,58.0,2,5248.868778280543
Nizampet,3 BHK,1650.0,3.0,60.0,3,3636.3636363636365
Nizampet,2 BHK,1694.0,2.0,150.0,2,8854.78158205431
AS Rao Nagar,3 BHK,2376.0,3.0,203.0,3,8543.771043771043
Tarnaka,2 BHK,674.0,2.0,33.0,2,4896.142433234421
West Marredpally,2 BHK,1185.0,2.0,41.0,2,3459.915611814346
Nagole,1 RK,445.0,1.0,28.0,1,6292.134831460674
Nacharam,3 BHK,1618.0,3.0,82.5,3,5098.887515451174
Toli Chowki,2 BHK,1120.0,2.0,65.0,2,5803.571428571428
Mallapur,4 BHK,2181.0,3.0,152.0,4,6969.280146721688
Habsiguda,3 BHK,1556.0,2.0,59.13,3,3800.1285347043704
Mallampet,2 BHK,1179.0,2.0,66.02,2,5599.660729431722
Nizampet,2 BHK,1296.0,2.0,83.0,2,6404.320987654321
Mallapur,2 BHK,1275.0,2.0,52.0,2,4078.4313725490197
Nagole,2 BHK,1222.0,2.0,63.0,2,5155.482815057283
Banjara Hills,2 BHK,940.0,2.0,41.0,2,4361.702127659574
Nizampet,2 BHK,1185.0,2.0,42.6,2,3594.9367088607596
Nizampet,3 BHK,1779.0,3.0,112.0,3,6295.6717256885895
Nizampet,3 BHK,1615.0,3.0,59.76,3,3700.30959752322
Manikonda,2 BHK,1056.0,2.0,61.0,2,5776.515151515152
Habsiguda,2 BHK,920.0,2.0,40.0,2,4347.826086956522
Puppalaguda,3 BHK,1602.0,2.0,75.0,3,4681.647940074907
Nizampet,3 BHK,1717.0,3.0,99.0,3,5765.87070471753
West Marredpally,4 BHK,2119.0,4.0,111.0,4,5238.319962246343
Kukatpally,2 BHK,1246.0,2.0,67.3,2,5401.284109149277
Habsiguda,2 BHK,1141.0,2.0,42.79,2,3750.219106047327
Puppalaguda,2 BHK,1025.0,2.0,27.68,2,2700.487804878049
Manikonda,1 BHK,650.0,1.0,33.0,1,5076.923076923077
East Marredpally,2 BHK,1349.0,2.0,98.0,2,7264.6404744255005
Beeramguda,3 BHK,1566.0,3.0,83.3,3,5319.284802043423
Nizampet,4 BHK,2830.0,3.0,195.0,4,6890.459363957597
Nizampet,2 BHK,1091.0,2.0,34.9,2,3198.9000916590285
Nizampet,4 BHK,3670.0,4.0,300.0,4,8174.386920980926
Appa Junction Peerancheru,4 BHK,1950.0,4.0,130.0,4,6666.666666666667
Appa Junction Peerancheru,3 BHK,1705.0,3.0,95.0,3,5571.847507331378
Appa Junction Peerancheru,3 BHK,1375.0,3.0,75.0,3,5454.545454545455
Appa Junction Peerancheru,1 BHK,525.0,1.0,30.0,1,5714.285714285715
Appa Junction Peerancheru,2 BHK,1114.0,2.0,39.0,2,3500.8976660682224
Appa Junction Peerancheru,3 BHK,1450.0,2.0,100.0,3,6896.551724137931
Appa Junction Peerancheru,2 BHK,1000.0,2.0,45.0,2,4500.0
Appa Junction Peerancheru,2 BHK,1128.0,2.0,68.75,2,6094.858156028369
Appa Junction Peerancheru,2 BHK,1180.0,2.0,57.0,2,4830.5084745762715
Appa Junction Peerancheru,2 BHK,1339.0,2.0,75.0,2,5601.194921583271
Appa Junction Peerancheru,2 BHK,1040.0,2.0,39.52,2,3800.0000000000005
Miyapur,3 BHK,1691.0,3.0,113.0,3,6682.436428149024
Miyapur,3 BHK,1075.0,3.0,36.0,3,3348.8372093023254
Miyapur,2 BHK,1122.5,2.0,58.935,2,5250.334075723831
Kukatpally,3 BHK,1665.0,3.0,86.58,3,5200.0
Kukatpally,2 BHK,1142.0,2.0,70.0,2,6129.5971978984235
Kukatpally,3 BHK,1976.0,3.0,184.0,3,9311.74089068826
Kukatpally,2 BHK,1175.0,2.0,51.47,2,4380.425531914893
Kondapur,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
Kukatpally,2 BHK,995.0,2.0,41.0,2,4120.603015075377
Appa Junction,2 BHK,884.0,2.0,41.1,2,4649.321266968326
Appa Junction,2 BHK,1170.0,2.0,57.0,2,4871.794871794872
Appa Junction,2 BHK,1225.0,2.0,46.55,2,3800.0
Beeramguda,2 BHK,1342.0,2.0,73.3,2,5461.997019374068
Krishna Reddy Pet,3 BHK,1320.0,3.0,65.0,3,4924.242424242424
Moosapet,2 BHK,1140.0,2.0,49.39,2,4332.456140350877
Moosapet,2 BHK,1300.0,2.0,50.0,2,3846.153846153846
Gajularamaram,3 BHK,2072.0,4.0,142.0,3,6853.281853281854
Miyapur,3 BHK,1360.0,2.0,71.0,3,5220.588235294118
Beeramguda,3 BHK,1145.0,2.0,60.0,3,5240.174672489083
Kukatpally,3 BHK,1540.0,2.0,40.0,3,2597.4025974025976
Kukatpally,2 BHK,1278.0,2.0,95.0,2,7433.489827856025
Gajulramaram Kukatpally,1 BHK,630.0,1.0,40.0,1,6349.206349206349
Gajulramaram Kukatpally,3 BHK,1100.0,3.0,58.0,3,5272.727272727273
Gajulramaram Kukatpally,3 Bedroom,1200.0,3.0,95.0,3,7916.666666666667
Kukatpally,1 BHK,582.5,1.0,15.135,1,2598.283261802575
Mallampet,2 BHK,1015.0,2.0,25.88,2,2549.753694581281
Krishna Reddy Pet,2 BHK,1180.0,2.0,69.0,2,5847.457627118644
Krishna Reddy Pet,2 BHK,1116.0,2.0,51.91,2,4651.433691756272
Narsingi,2 BHK,1070.0,2.0,42.79,2,3999.0654205607475
Manikonda,2 BHK,1385.0,2.0,80.0,2,5776.173285198556
Khajaguda Nanakramguda Road,2 BHK,1005.0,2.0,55.78,2,5550.248756218905
Miyapur,3 BHK,1575.0,3.0,125.0,3,7936.507936507936
Kondapur,2 BHK,975.0,2.0,65.0,2,6666.666666666667
Cherlapalli,3 BHK,1904.0,3.0,120.0,3,6302.5210084033615
Hitech City,1 BHK,525.0,1.0,26.0,1,4952.380952380952
Kachiguda,2 Bedroom,2400.0,3.0,150.0,2,6250.0
Manikonda,2 BHK,1174.0,2.0,69.0,2,5877.342419080068
Gajularamaram,3 BHK,2225.0,2.0,125.0,3,5617.9775280898875
Tarnaka,2 BHK,1250.0,2.0,200.0,2,16000.0
Tarnaka,2 BHK,918.0,2.0,52.0,2,5664.488017429194
Krishna Reddy Pet,2 BHK,1170.0,2.0,53.0,2,4529.91452991453
Krishna Reddy Pet,3 BHK,1710.0,3.0,107.0,3,6257.309941520468
Beeramguda,3 BHK,1082.0,2.0,57.5,3,5314.232902033272
Attapur,3 BHK,1554.0,3.0,55.0,3,3539.253539253539
Krishna Reddy Pet,2 BHK,1142.5,2.0,43.415,2,3800.0
Beeramguda,2 BHK,1045.0,2.0,98.89,2,9463.157894736842
Miyapur,3 BHK,1935.0,4.0,130.0,3,6718.3462532299745
Tellapur,3 BHK,1680.0,3.0,150.0,3,8928.57142857143
Tellapur,4 BHK,2470.0,5.0,247.0,4,10000.0
Tellapur,4 BHK,2825.0,4.0,250.0,4,8849.557522123894
Beeramguda,3 BHK,2480.0,3.0,330.0,3,13306.451612903225
Himayat Nagar,3 BHK,1799.0,3.0,90.0,3,5002.77932184547
Manikonda,1 BHK,400.0,1.0,11.0,1,2750.0
Miyapur,2 BHK,1047.0,2.0,82.0,2,7831.900668576886
Miyapur,2 BHK,1282.0,2.0,87.0,2,6786.271450858035
Puppalaguda,2 BHK,1495.0,2.0,79.5,2,5317.725752508361
Gajularamaram,4 Bedroom,3260.0,4.0,240.0,4,7361.963190184049
Tarnaka,4 BHK,3500.0,5.0,425.0,4,12142.857142857143
Tarnaka,3 BHK,1500.0,2.0,95.0,3,6333.333333333333
Krishna Reddy Pet,3 BHK,1540.0,3.0,50.0,3,3246.753246753247
Krishna Reddy Pet,3 BHK,1639.0,3.0,80.0,3,4881.0250152532035
Beeramguda,2 BHK,1303.0,2.0,55.79,2,4281.657712970069
Beeramguda,2 BHK,1005.0,1.0,110.0,2,10945.273631840795
Krishna Reddy Pet,1 BHK,657.5,1.0,18.41,1,2800.0
Beeramguda,3 BHK,1305.0,3.0,33.28,3,2550.191570881226
Krishna Reddy Pet,3 BHK,1440.0,2.0,68.0,3,4722.222222222223
Krishna Reddy Pet,3 BHK,1725.0,3.0,200.0,3,11594.202898550724
Attapur,3 BHK,1535.0,3.0,65.99,3,4299.022801302931
Gajularamaram,3 BHK,1464.0,3.0,56.0,3,3825.136612021858
Kondapur,2 BHK,1350.0,2.0,80.0,2,5925.925925925926
Rhoda Mistri Nagar,2 BHK,650.0,2.0,42.0,2,6461.538461538462
Miyapur,2 BHK,950.0,2.0,31.0,2,3263.157894736842
Habsiguda,2 BHK,1190.0,2.0,49.98,2,4200.0
Krishna Reddy Pet,3 BHK,1891.0,3.0,109.0,3,5764.1459545214175
Krishna Reddy Pet,2 BHK,1161.0,2.0,55.15,2,4750.215331610681
Krishna Reddy Pet,1 BHK,649.5,1.0,17.535,1,2699.7690531177827
Tarnaka,1 BHK,665.0,1.0,36.85,1,5541.353383458647
Nallakunta,2 BHK,1425.0,2.0,80.0,2,5614.035087719299
Kukatpally,2 BHK,1255.0,2.0,67.0,2,5338.645418326693
Kukatpally,3 BHK,2112.95,4.0,145.0,3,6862.443503159091
Beeramguda,3 BHK,1810.0,3.0,100.0,3,5524.861878453039
Krishna Reddy Pet,3 BHK,1400.0,2.0,40.43,3,2887.8571428571427
Narsingi,3 BHK,1485.0,2.0,67.0,3,4511.784511784512
Puppalaguda,2 BHK,1025.0,2.0,44.5,2,4341.463414634146
Miyapur,4 BHK,2268.0,3.0,163.0,4,7186.94885361552
Gajularamaram,3 BHK,1100.0,3.0,53.0,3,4818.181818181818
Gajularamaram,2 BHK,1141.0,2.0,62.0,2,5433.829973707274
Bachupally,1 BHK,400.0,1.0,12.0,1,3000.0
Cherlapalli,3 BHK,1843.0,3.0,95.84,3,5200.217037438958
Manikonda,3 BHK,1530.0,2.0,74.5,3,4869.281045751634
Gachibowli,2 BHK,1246.0,2.0,64.5,2,5176.565008025682
Kukatpally,1 BHK,711.0,1.0,38.0,1,5344.585091420535
Beeramguda,2 BHK,1194.0,2.0,46.0,2,3852.5963149078725
Beeramguda,3 BHK,1358.0,2.0,43.4,3,3195.8762886597938
Krishna Reddy Pet,2 BHK,1420.0,2.0,75.0,2,5281.69014084507
Beeramguda,2 BHK,1209.0,2.0,50.0,2,4135.6492969396195
Hitech City,3 BHK,1315.0,2.0,54.8,3,4167.300380228137
Appa Junction,3 BHK,1600.0,2.0,65.0,3,4062.5
Appa Junction,3 BHK,1563.0,3.0,52.0,3,3326.935380678183
Appa Junction,3 BHK,1560.0,2.0,72.0,3,4615.384615384615
Gachibowli,3 BHK,3235.0,3.0,235.0,3,7264.296754250387
Puppalaguda,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
Aminpur,2 BHK,1100.0,2.0,70.0,2,6363.636363636364
Moosapet,2 BHK,1036.0,2.0,50.0,2,4826.254826254826
Gajularamaram,3 BHK,1662.0,3.0,85.1,3,5120.336943441636
Aminpur,3 BHK,1464.0,2.0,105.0,3,7172.131147540984
Narsingi,2 BHK,1234.0,2.0,80.0,2,6482.982171799027
Miyapur,3 BHK,1403.0,3.0,55.0,3,3920.1710620099784
Appa Junction,4 BHK,3900.0,4.0,410.0,4,10512.820512820514
Kukatpally,2 BHK,1405.0,2.0,70.0,2,4982.20640569395
Attapur,4 BHK,2805.0,4.0,154.0,4,5490.196078431372
Puppalaguda,2 BHK,1161.0,2.0,64.08,2,5519.37984496124
Rhoda Mistri Nagar,2 BHK,1290.0,2.0,74.0,2,5736.434108527132
Uppal,3 BHK,2557.0,3.0,141.0,3,5514.274540477121
Tarnaka,3 BHK,1480.0,3.0,90.0,3,6081.081081081081
Darga Khaliz Khan,3 BHK,1350.0,3.0,54.54,3,4040.0
Appa Junction,3 BHK,1580.0,2.0,65.0,3,4113.9240506329115
Appa Junction,2 BHK,1346.0,2.0,61.92,2,4600.297176820208
Appa Junction,2 BHK,1200.0,2.0,35.0,2,2916.6666666666665
Appa Junction,3 BHK,1340.0,2.0,48.33,3,3606.716417910448
Appa Junction,2 BHK,918.0,2.0,48.0,2,5228.75816993464
Appa Junction,3 Bedroom,1500.0,3.0,115.0,3,7666.666666666667
Darga Khaliz Khan,2 BHK,1315.0,2.0,85.0,2,6463.878326996198
Kukatpally,3 BHK,1330.0,2.0,56.0,3,4210.526315789473
Miyapur,3 BHK,1824.0,3.0,125.0,3,6853.070175438596
Miyapur,3 BHK,1420.0,2.0,96.0,3,6760.56338028169
Gajularamaram,3 BHK,1260.0,2.0,60.0,3,4761.9047619047615
Gajularamaram,3 BHK,1561.0,3.0,95.0,3,6085.842408712364
Appa Junction,2 BHK,1225.0,2.0,67.38,2,5500.408163265306
Appa Junction,3 BHK,2144.0,3.0,135.0,3,6296.641791044776
Appa Junction,2 BHK,880.0,2.0,29.0,2,3295.4545454545455
Appa Junction,3 BHK,1639.0,3.0,110.0,3,6711.4093959731545
Appa Junction,3 BHK,1240.0,2.0,62.0,3,5000.0
Appa Junction,2 BHK,1243.0,2.0,46.0,2,3700.7240547063557
Darga Khaliz Khan,3 BHK,1082.0,2.0,56.0,3,5175.6007393715345
Appa Junction,3 BHK,1665.0,3.0,86.58,3,5200.0
Appa Junction,2 BHK,1265.0,2.0,56.93,2,4500.395256916996
Manikonda,3 BHK,1691.0,2.0,102.0,3,6031.933767001774
East Marredpally,2 BHK,1100.0,2.0,38.0,2,3454.5454545454545
Bollaram,4 BHK,3205.0,5.0,380.0,4,11856.474258970358
Mallampet,2 BHK,1115.0,2.0,50.0,2,4484.304932735426
Gajularamaram,2 BHK,1070.0,2.0,45.0,2,4205.607476635514
Beeramguda,2 BHK,1128.0,2.0,105.0,2,9308.510638297872
Kukatpally,2 BHK,1162.0,2.0,57.0,2,4905.335628227194
Manikonda,2 BHK,1339.0,2.0,55.0,2,4107.542942494399
Begumpet,2 BHK,1192.0,2.0,75.0,2,6291.946308724832
Kukatpally,3 BHK,1920.0,3.0,115.0,3,5989.583333333333
Hitech City,2 BHK,1255.0,2.0,52.32,2,4168.924302788844
Hitech City,2 BHK,1357.0,2.0,115.0,2,8474.57627118644
Hitech City,2 BHK,1225.0,2.0,55.11,2,4498.775510204082
Hitech City,4 Bedroom,2400.0,4.0,200.0,4,8333.333333333334
Hitech City,2 BHK,1093.0,2.0,70.0,2,6404.391582799634
Hitech City,3 BHK,1865.0,3.0,145.0,3,7774.798927613941
Hitech City,2 BHK,1039.0,2.0,80.0,2,7699.711260827719
Hitech City,2 BHK,1246.0,2.0,64.5,2,5176.565008025682
Hitech City,3 BHK,1985.0,3.0,75.0,3,3778.337531486146
Kukatpally,3 BHK,1590.0,3.0,49.0,3,3081.761006289308
Kondapur,4 Bedroom,4000.0,4.0,675.0,4,16875.0
Kondapur,2 BHK,775.0,2.0,38.0,2,4903.225806451613
Kondapur,2 BHK,1000.0,2.0,50.0,2,5000.0
Kondapur,3 BHK,1800.0,3.0,175.0,3,9722.222222222223
Kondapur,2 BHK,1035.0,2.0,41.0,2,3961.352657004831
Kondapur,3 BHK,1520.0,2.0,75.0,3,4934.210526315789
Kondapur,2 BHK,1360.0,2.0,95.0,2,6985.294117647059
Kondapur,4 Bedroom,6000.0,5.0,400.0,4,6666.666666666667
Kondapur,2 BHK,1117.0,2.0,56.0,2,5013.428827215756
Kondapur,4 Bedroom,1200.0,4.0,120.0,4,10000.0
Kondapur,2 BHK,1330.0,2.0,92.5,2,6954.887218045113
Hitex Road,3 BHK,1937.0,3.0,160.0,3,8260.196179659268
Manikonda,2 BHK,1128.0,2.0,65.49,2,5805.851063829787
Hitech City,2 BHK,1053.0,2.0,45.0,2,4273.504273504273
Hitech City,2 BHK,1198.0,2.0,77.0,2,6427.378964941569
Hitech City,2 BHK,1152.0,2.0,56.0,2,4861.111111111111
Kondapur,2 BHK,1625.0,2.0,75.0,2,4615.384615384615
Puppalaguda,3 BHK,1397.0,3.0,105.0,3,7516.1059413027915
Begumpet,3 BHK,1523.0,3.0,170.0,3,11162.179908076165
Banjara Hills,2 BHK,883.0,2.0,45.0,2,5096.262740656852
Kondapur,1 BHK,700.0,1.0,38.0,1,5428.571428571428
Kondapur,2 BHK,1170.0,2.0,62.5,2,5341.880341880342
Sanath Nagar,3 BHK,1200.0,2.0,42.0,3,3500.0
Nallagandla Gachibowli,3 BHK,1897.0,3.0,120.0,3,6325.77754348972
Balanagar,3 BHK,1875.0,3.0,110.0,3,5866.666666666667
Balanagar,3 BHK,3095.0,3.0,350.0,3,11308.562197092084
Balanagar,3 BHK,1390.0,2.0,175.0,3,12589.928057553956
Balanagar,3 BHK,1450.0,3.0,65.255,3,4500.3448275862065
Nallagandla Gachibowli,1 BHK,697.0,1.0,45.0,1,6456.241032998565
Nallagandla Gachibowli,1 BHK,710.0,1.0,27.0,1,3802.8169014084506
Nallagandla Gachibowli,2 BHK,910.0,2.0,30.5,2,3351.6483516483518
Manikonda,3 BHK,1025.0,2.0,48.0,3,4682.926829268293
Manikonda,2 BHK,1000.0,2.0,46.5,2,4650.0
Sanath Nagar,4 BHK,3335.0,5.0,300.0,4,8995.502248875562
Sanath Nagar,2 BHK,971.5,2.0,36.435,2,3750.386001029336
Sanath Nagar,2 BHK,1024.0,2.0,42.0,2,4101.5625
Nallagandla Gachibowli,3 BHK,1620.0,3.0,62.0,3,3827.1604938271603
Nallagandla Gachibowli,2 BHK,1254.0,2.0,40.0,2,3189.792663476874
Nallagandla Gachibowli,3 BHK,1300.0,2.0,75.0,3,5769.2307692307695
Nallagandla Gachibowli,3 BHK,1510.0,2.0,105.0,3,6953.64238410596
Balanagar,2 BHK,950.0,2.0,65.0,2,6842.105263157895
Balanagar,3 BHK,1945.0,3.0,97.42,3,5008.740359897172
Balanagar,2 BHK,1008.0,2.0,45.0,2,4464.285714285715
Balanagar,3 BHK,1265.0,2.0,79.0,3,6245.059288537549
Balanagar,3 BHK,1255.0,2.0,77.68,3,6189.641434262949
Nallagandla Gachibowli,4 BHK,2689.0,6.0,220.0,4,8181.480104127929
Nallagandla Gachibowli,3 BHK,1403.0,3.0,51.63,3,3679.9714896650034
Nallagandla Gachibowli,3 BHK,1535.0,3.0,85.0,3,5537.459283387622
Manikonda,3 BHK,1475.0,2.0,120.0,3,8135.593220338983
Manikonda,2 BHK,1133.0,2.0,55.0,2,4854.368932038835
Manikonda,3 BHK,1697.0,3.0,94.79,3,5585.739540365351
Manikonda,3 BHK,1560.0,3.0,188.0,3,12051.28205128205
Manikonda,3 BHK,1192.0,2.0,60.0,3,5033.557046979866
Manikonda,2 BHK,1349.0,2.0,78.0,2,5782.060785767235
Manikonda,3 BHK,1680.0,3.0,120.0,3,7142.857142857143
Manikonda,2 BHK,820.0,2.0,39.0,2,4756.09756097561
Manikonda,4 Bedroom,5000.0,4.0,400.0,4,8000.0
Manikonda,2 BHK,856.0,2.0,40.0,2,4672.897196261682
Manikonda,3 BHK,1621.0,4.0,130.0,3,8019.740900678594
Manikonda,3 BHK,1484.0,3.0,52.5,3,3537.735849056604
Manikonda,4 Bedroom,14000.0,3.0,800.0,4,5714.285714285715
Manikonda,1 BHK,500.0,1.0,20.0,1,4000.0
Boiguda,2 BHK,550.0,1.0,16.0,2,2909.090909090909
Manikonda,3 BHK,1384.0,3.0,62.28,3,4500.0
Shaikpet,2 BHK,1150.0,2.0,49.0,2,4260.869565217391
ECIL,4 BHK,2150.0,4.0,100.0,4,4651.162790697675
Nizampet,3 BHK,1508.0,3.0,70.25,3,4658.488063660478
Nizampet,2 BHK,1040.0,2.0,50.0,2,4807.692307692308
Nizampet,2 Bedroom,1240.0,2.0,60.0,2,4838.709677419355
Shaikpet,3 BHK,1535.0,3.0,78.0,3,5081.4332247557
ECIL Main Road,2 BHK,1180.0,2.0,75.0,2,6355.932203389831
Hitech City,2 BHK,1400.0,2.0,78.0,2,5571.428571428572
Narsingi,4 Bedroom,4800.0,4.0,525.0,4,10937.5
Sanath Nagar,3 BHK,1984.0,4.0,146.0,3,7358.870967741936
Manikonda,4 Bedroom,3000.0,5.0,250.0,4,8333.333333333334
Gachibowli,3 BHK,1960.0,3.0,160.0,3,8163.265306122449
Rajbhavan Road Somajiguda,2 BHK,1035.0,2.0,45.0,2,4347.826086956522
Beeramguda,3 BHK,1700.0,3.0,115.0,3,6764.705882352941
Ramachandra Puram,4 BHK,3024.0,5.0,248.0,4,8201.0582010582
Ramachandra Puram,3 BHK,1586.0,3.0,100.0,3,6305.170239596469
TellapurOsman Nagar Road,4 Bedroom,2325.0,4.0,120.0,4,5161.290322580645
Mansoorabad,2 BHK,1120.0,2.0,55.0,2,4910.714285714285
TellapurOsman Nagar Road,2 BHK,1128.0,2.0,59.0,2,5230.49645390071
Tellapur,2 BHK,924.0,2.0,65.0,2,7034.632034632034
ECIL,3 BHK,1600.0,3.0,52.0,3,3250.0
Hitech City,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
Sanath Nagar,2 BHK,957.0,2.0,56.0,2,5851.619644723093
Madhapur,2 BHK,1140.0,2.0,41.0,2,3596.4912280701756
Kondapur,2 BHK,1050.0,2.0,67.0,2,6380.952380952381
Kondapur,2 BHK,1190.0,2.0,57.0,2,4789.915966386555
Gajularamaram,3 BHK,1558.67,2.0,65.0,3,4170.222048284755
Nanakramguda,3 BHK,1403.0,2.0,60.81,3,4334.283677833215
Kokapet,3 BHK,1542.0,2.0,85.0,3,5512.321660181582
Bandlaguda Jagir,4 Bedroom,2750.0,4.0,220.0,4,8000.0
Bandlaguda Jagir,4 BHK,3596.0,5.0,290.0,4,8064.5161290322585
TellapurOsman Nagar Road,3 BHK,1596.0,3.0,105.0,3,6578.9473684210525
Tellapur,2 BHK,1009.0,2.0,38.34,2,3799.8017839445
ECIL Cross Road,3 BHK,1726.0,3.0,81.99,3,4750.289687137891
Manikonda,3 BHK,1535.0,3.0,86.0,3,5602.605863192182
Shaikpet,4 Bedroom,3100.0,4.0,465.0,4,15000.0
ECIL Main Road,1 BHK,665.0,1.0,50.75,1,7631.578947368421
ECIL,2 BHK,925.0,2.0,48.0,2,5189.189189189189
Hitech City,2 BHK,1395.0,2.0,63.59,2,4558.4229390681
Hitech City,3 BHK,1415.0,2.0,55.0,3,3886.9257950530036
Hitech City,3 BHK,1419.0,2.0,59.0,3,4157.85764622974
Pragati Nagar,2 BHK,1121.0,2.0,78.0,2,6958.07314897413
TellapurOsman Nagar Road,2 BHK,1100.0,2.0,47.0,2,4272.727272727273
Tellapur,3 BHK,1606.0,3.0,89.55,3,5575.965130759651
Manikonda,3 BHK,4634.0,4.0,1015.0,3,21903.32326283988
Narsingi,2 BHK,1206.0,2.0,75.0,2,6218.905472636816
Narsingi,3 BHK,1495.0,2.0,64.0,3,4280.936454849499
Narsingi,2 BHK,710.0,2.0,16.0,2,2253.521126760563
Gandipet,3 BHK,1523.0,2.0,53.4,3,3506.2376887721603
Gandipet,2 BHK,1232.0,2.0,45.0,2,3652.5974025974024
Gandipet,1 BHK,680.0,1.0,44.0,1,6470.588235294118
Gandipet,3 BHK,1355.0,3.0,83.87,3,6189.667896678967
Gandipet,3 BHK,1430.0,2.0,51.46,3,3598.6013986013986
